Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Metabolic Process (GO:0006259)	19/288	7.466698579805753E-11	1.0065109685578155E-7	0	0	7.7512635228269495	180.7438316635879	BARD1;RMI2;RFC3;PRIM1;MCM10;BRCA1;UNG;POLA1;FAM111A;ORC1;CDK2;PWWP3A;TIMELESS;MCM3;MCM4;RBMS1;MCM5;RAD9A;MCM2
DNA Replication Initiation (GO:0006270)	7/21	8.363151376995842E-10	5.636764028095197E-7	0	0	52.07631578947368	1088.499965798263	POLA1;ORC1;PRIM1;MCM3;MCM10;MCM5;MCM2
DNA-templated DNA Replication (GO:0006261)	10/69	1.403685710161958E-9	6.307227790994398E-7	0	0	17.89540469500589	364.78287147865944	POLA1;RFC3;ORC1;PRIM1;MCM3;MCM4;MCM10;MCM5;MCM2;PRIMPOL
DNA Replication Checkpoint Signaling (GO:0000076)	5/17	4.952932544114866E-7	1.335310613893368E-4	0	0	42.94921875	623.5417320468113	CDT1;ORC1;TIMELESS;CDC6;RAD9A
Regulation Of DNA-templated DNA Replication (GO:0090329)	5/17	4.952932544114866E-7	1.335310613893368E-4	0	0	42.94921875	623.5417320468113	CDT1;MCM3;MCM4;MCM5;MCM2
DNA Replication (GO:0006260)	8/73	5.974036048099614E-7	1.3421667654730466E-4	0	0	12.853398453398453	184.19784885068975	FAM111A;POLA1;RFC3;CDK2;MCM4;RBMS1;MCM5;MCM2
DNA Repair (GO:0006281)	14/291	1.2238609897529453E-6	2.3568065916956718E-4	0	0	5.392752165078614	73.41423133390438	BARD1;FANCI;RMI2;RFC3;ERCC6L2;MPG;BRCA1;UNG;PRIMPOL;POLA1;FAM111A;PWWP3A;TIMELESS;RAD9A
Mitotic DNA Replication (GO:1902969)	4/10	1.8304903581738443E-6	3.0843762535229274E-4	0	0	68.38341968911917	903.4083430742905	POLA1;MCM3;MCM4;MCM2
Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)	4/11	2.8543272650796614E-6	4.275147948141537E-4	0	0	58.61139896373057	748.2726453251759	MCM3;MCM4;MCM5;MCM2
DNA Strand Elongation (GO:0022616)	4/12	4.2485169118265586E-6	4.7725006642851674E-4	0	0	51.28238341968912	634.3087542344302	POLA1;RFC3;MCM3;MCM4
DNA Strand Elongation Involved In DNA Replication (GO:0006271)	4/12	4.2485169118265586E-6	4.7725006642851674E-4	0	0	51.28238341968912	634.3087542344302	POLA1;RFC3;MCM3;MCM4
Regulation Of DNA-templated DNA Replication Initiation (GO:0030174)	4/12	4.2485169118265586E-6	4.7725006642851674E-4	0	0	51.28238341968912	634.3087542344302	MCM3;MCM4;MCM5;MCM2
Renal System Development (GO:0072001)	6/58	2.2371001220728024E-5	0.002319700741964721	0	0	11.931735803463551	127.76198470307646	HELLS;MME;ITGA8;SIX1;CEP290;TBX18
DNA Unwinding Involved In DNA Replication (GO:0006268)	4/20	3.9092503472869106E-5	0.0037640496201019683	0	0	25.63082901554404	260.1421453661647	MCM3;MCM4;MCM5;MCM2
Cholesterol Biosynthetic Process (GO:0006695)	4/25	9.820852666335173E-5	0.008825672929479875	0	0	19.523316062176164	180.16931193435812	SC5D;HSD17B7;LBR;TM7SF2
Ribonucleoprotein Complex Biogenesis (GO:0022613)	7/118	1.6954953921451428E-4	0.014284548678822827	0	0	6.535988620199147	56.7478414971711	NOP56;NOP58;WDR75;UTP20;PWP2;SDAD1;GLUL
Histone Monoubiquitination (GO:0010390)	3/12	1.9393096485291613E-4	0.015377584742454762	0	0	34.01030927835052	290.720406456205	BARD1;UHRF1;BRCA1
DNA Damage Response (GO:0006974)	12/384	4.444898414861278E-4	0.03328735035129446	0	0	3.388142981691369	26.15166402985976	BARD1;POLA1;FAM111A;RMI2;RFC3;PWWP3A;TIMELESS;CASP2;MCM10;BRCA1;UNG;RAD9A
Kidney Development (GO:0001822)	5/71	6.775953774007788E-4	0.04685886305567164	0	0	7.787642045454546	56.826114343081315	HELLS;MME;ITGA8;SIX1;CEP290
DNA Duplex Unwinding (GO:0032508)	4/41	6.952353569090748E-4	0.04685886305567164	0	0	11.071838678056295	80.50621910891094	MCM3;MCM4;MCM5;MCM2
DNA Integrity Checkpoint Signaling (GO:0031570)	4/42	7.625495985703723E-4	0.04894842185108866	0	0	10.779929097354787	77.38741858731765	CDT1;TIMELESS;CDC6;RAD9A
Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	6/111	8.133358220525379E-4	0.0495022917526873	0	0	5.893193717277487	41.92633977427419	RMI2;MCM3;MCM4;MCM5;BRCA1;MCM2
Regulation Of DNA Replication (GO:0006275)	5/75	8.702078379428094E-4	0.0495022917526873	0	0	7.341145833333333	51.73142848171413	ING5;CDT1;USP37;DSCC1;CDC6
Ribosome Biogenesis (GO:0042254)	7/155	8.813464407006641E-4	0.0495022917526873	0	0	4.89278093883357	34.4161135827365	NOP56;NOP58;WDR75;UTP20;PWP2;SDAD1;GLUL
Negative Regulation Of Gene Expression Via CpG Island Methylation (GO:0044027)	2/5	9.466363946528918E-4	0.05104263439968393	0	0	67.6923076923077	471.31415648089467	HELLS;UHRF1
Replication Fork Processing (GO:0031297)	4/46	0.0010781874845112256	0.05190702604004044	0	0	9.751295336787564	66.62547090686114	BARD1;FAM111A;BRCA1;PRIMPOL
Mitotic G2/M Transition Checkpoint (GO:0044818)	4/46	0.0010781874845112256	0.05190702604004044	0	0	9.751295336787564	66.62547090686114	BARD1;ORC1;BRCA1;CDC6
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163)	4/46	0.0010781874845112256	0.05190702604004044	0	0	9.751295336787564	66.62547090686114	LAMA4;PLCL1;TLR4;LGR4
'De Novo' AMP Biosynthetic Process (GO:0044208)	2/6	0.001410749114050789	0.06303246040334143	0	0	50.766666666666666	333.21384118468507	ATIC;GART
GMP Biosynthetic Process (GO:0006177)	2/6	0.001410749114050789	0.06303246040334143	0	0	50.766666666666666	333.21384118468507	ATIC;GART
Ribosomal Small Subunit Biogenesis (GO:0042274)	5/84	0.0014495595493350033	0.06303246040334143	0	0	6.501845991561181	42.49928724610909	NOP56;NOP58;WDR75;UTP20;PWP2
Secondary Alcohol Biosynthetic Process (GO:1902653)	3/24	0.001635442206806739	0.06889300296173388	0	0	14.56701030927835	93.45963726061788	HSD17B7;LBR;TM7SF2
Negative Regulation Of Metabolic Process (GO:0009892)	4/53	0.0018338924326489602	0.07148967297730337	0	0	8.355292376017765	52.649325490699525	LAMA4;PLCL1;TLR4;LGR4
IMP Biosynthetic Process (GO:0006188)	2/7	0.0019622536351336975	0.07148967297730337	0	0	40.61128205128205	253.15699157891902	ATIC;GART
Histone H2A K63-linked Deubiquitination (GO:0070537)	2/7	0.0019622536351336975	0.07148967297730337	0	0	40.61128205128205	253.15699157891902	BARD1;BRCA1
Myoblast Migration (GO:0051451)	2/7	0.0019622536351336975	0.07148967297730337	0	0	40.61128205128205	253.15699157891902	ANXA1;SIX1
Negative Regulation Of DNA-templated DNA Replication (GO:2000104)	2/7	0.0019622536351336975	0.07148967297730337	0	0	40.61128205128205	253.15699157891902	CDT1;TIMELESS
DNA Synthesis Involved In DNA Repair (GO:0000731)	3/27	0.0023127734891841395	0.08204259640579527	0	0	12.744201030927835	77.34847910381606	POLA1;RFC3;PRIMPOL
Regulation Of Chromosome Segregation (GO:0051983)	3/28	0.0025716681048586995	0.08342839178283068	0	0	12.233814432989691	72.95268862007515	RMI2;CDC6;NCAPD3
Sterol Biosynthetic Process (GO:0016126)	3/28	0.0025716681048586995	0.08342839178283068	0	0	12.233814432989691	72.95268862007515	HSD17B7;LBR;TM7SF2
AMP Biosynthetic Process (GO:0006167)	2/8	0.0025994009309190567	0.08342839178283068	0	0	33.84102564102564	201.43783445575303	ATIC;GART
