Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication	7/35	4.304093814910343E-8	7.91953261943503E-6	0	0	26.019736842105264	441.3237260602303	POLA1;RFC3;PRIM1;MCM3;MCM4;MCM5;MCM2
Cell cycle	7/123	2.1917757208438646E-4	0.020164336631763556	0	0	6.252676950998185	52.682732027020904	ORC1;CDK2;MCM3;MCM4;MCM5;CDC6;MCM2
Steroid biosynthesis	3/19	8.118456117061567E-4	0.049793197517977617	0	0	19.12403350515464	136.09045429087416	SC5D;HSD17B7;TM7SF2
Focal adhesion	7/199	0.0036437138368440236	0.16761083649482508	0	0	3.7630756578947366	21.128735946463667	COL4A2;LAMA4;ITGA1;ITGA8;FLNA;PARVB;VCL
Ribosome biogenesis in eukaryotes	5/115	0.005645160333193145	0.2077419002615077	0	0	4.6621685606060606	24.135844668884268	NOP56;NOP58;WDR75;PWP2;GNL3
PI3K-Akt signaling pathway	9/357	0.009111391773602779	0.2205873606748535	0	0	2.676311445341159	12.573926200255464	COL4A2;LAMA4;CDK2;ITGA1;ITGA8;BRCA1;GNG11;TLR4;PCK2
ECM-receptor interaction	4/83	0.009161752387127879	0.2205873606748535	0	0	5.174526136289106	24.282590957840732	COL4A2;LAMA4;ITGA1;ITGA8
Human papillomavirus infection	9/360	0.009590754811950151	0.2205873606748535	0	0	2.6530278232405893	12.328502725542549	COL4A2;FZD4;LAMA4;TCF7;CDK2;ITGA1;ITGA8;H2-Q4;TCIRG1
GABAergic synapse	4/90	0.012083111559677413	0.24703250299784932	0	0	4.75165682612363	20.983062521537708	PLCL1;SLC38A3;GLUL;GNG11
Fanconi anemia pathway	3/51	0.013859247206799711	0.24731703095679144	0	0	6.364368556701031	27.231876732729464	FANCI;RMI2;BRCA1
One carbon pool by folate	2/19	0.014785257285460358	0.24731703095679144	0	0	11.937254901960785	50.30508101951383	ATIC;GART
Other types of O-glycan biosynthesis	2/22	0.019591572002695453	0.2554761038411518	0	0	10.145128205128206	39.897297329224884	B4GALT1;GXYLT2
Proximal tubule bicarbonate reclamation	2/22	0.019591572002695453	0.2554761038411518	0	0	10.145128205128206	39.897297329224884	SLC38A3;PCK2
Cushing syndrome	5/159	0.02073688221488974	0.2554761038411518	0	0	3.3226799242424243	12.878180457944916	FZD4;TCF7;CDK2;ITPR1;LDLR
