Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Modulation Of Chemical Synaptic Transmission (GO:0050804)	16/123	2.6470688063443865E-8	3.6679824728776915E-5	0	0	6.4849799732977305	113.14492304739663	GRIA2;UNC13A;IQSEC2;GRIK3;GRIK4;ATP1A2;GRIK2;MAPK8IP2;SYN1;SLC8A2;SLC4A8;GRIN3A;RELN;NPTX2;DGKI;DLGAP4
Regulation Of Cell Migration (GO:0030334)	31/434	3.408905643938375E-8	3.6679824728776915E-5	0	0	3.3990051518919877	58.44347835465807	PTPRT;CAMK2B;KANK1;SEMA5B;PTPRU;PIK3R3;EGFR;DUSP10;RELN;MGAT3;SRGAP3;TMSB10;SEMA6B;CARMIL1;NTNG2;DUSP3;PRKCA;SEMA4G;RHOB;MMP14;SFRP1;SFRP2;ADAM15;DAAM2;RUFY3;SPATA13;CDH11;CDH13;ROR2;SGK1;EPHA2
Chemical Synaptic Transmission (GO:0007268)	23/273	1.1308642187617902E-7	8.112065995917908E-5	0	0	4.023383219954648	64.35447131823135	UNC13B;GRIA2;GABBR1;UNC13A;PTPRN2;KCND2;CNP;GAD1;GRIK3;SLC1A2;GRIK4;SLC1A3;GRIK2;SYN2;SYN1;GRIN1;CACNB3;GRIN3A;RPS6KA1;EXOC4;NPTX2;PDLIM4;PPFIA3
Axonogenesis (GO:0007409)	18/188	4.2213477043353436E-7	2.2710850649324148E-4	0	0	4.597573199683461	67.48290914593971	SEMA6B;SEMA5B;NOTCH3;NTNG2;DRAXIN;BRSK2;APLP1;SEMA4G;KALRN;NELL2;KLF7;RELN;SLITRK2;ULK2;SLITRK5;PRKCQ;APBB1;EPHB1
Negative Regulation Of JNK Cascade (GO:0046329)	8/34	8.4431157716963E-7	3.6339170281380874E-4	0	0	13.164642375168691	184.10415667010258	PER1;PINK1;DUSP10;DUSP3;PDCD4;DUSP16;ANKS1B;MAPK8IP1
Regulation Of Trans-Synaptic Signaling (GO:0099177)	8/36	1.3510462992212607E-6	4.845752726540255E-4	0	0	12.223057644110275	165.19011655388618	GRIA2;SLC4A8;RELN;GRIN3A;IQSEC2;GRIK3;GRIK4;GRIK2
Synaptic Transmission, Glutamatergic (GO:0035249)	7/27	2.0535855674643125E-6	6.313308773118858E-4	0	0	14.946608315098468	195.73963512313102	UNC13B;GRIA2;UNC13A;GRIN3A;GRIK3;GRIK4;GRIK2
Neuron Projection Morphogenesis (GO:0048812)	14/146	7.965500248248137E-6	0.002114915832934905	0	0	4.573333333333333	53.692720641245856	NTNG2;BRSK2;NRN1;APLP1;MAPK8IP2;BMP7;KLF7;ALCAM;SLITRK2;SLITRK5;SRGAP3;APBB1;SGK1;EPHB1
Regulation Of JNK Cascade (GO:0046328)	12/110	9.494051152287309E-6	0.002114915832934905	0	0	5.265847932093191	60.898715918081834	PER1;PINK1;DUSP10;DUSP3;WNT7B;MAPK8IP2;EPHB1;MAPK8IP3;EGFR;ANKS1B;MAPK8IP1;GADD45G
Axon Guidance (GO:0007411)	14/149	1.0075576931845155E-5	0.002114915832934905	0	0	4.4710123456790125	51.4407683987638	SEMA6B;SEMA5B;NOTCH3;DRAXIN;SEMA4G;KALRN;NELL2;KLF7;GAP43;ALCAM;RELN;RAC3;PRKCQ;EPHB1
Cellular Response To Glucose Stimulus (GO:0071333)	7/34	1.0810443383960946E-5	0.002114915832934905	0	0	11.067590566496474	126.55787500837336	UNC13B;PTPRN2;KCNB1;PTPRN;GAS6;SOX4;RAB11FIP5
Glutamate Receptor Signaling Pathway (GO:0007215)	7/35	1.3244969994984617E-5	0.0023018095333512444	0	0	10.671772428884026	119.86420284673636	GRIA2;GRIN3A;KCNB1;GRIK3;GRIK4;GRIK2;GRIN1
Regulation Of Neuron Projection Development (GO:0010975)	15/174	1.390498324050473E-5	0.0023018095333512444	0	0	4.071311509854183	45.530548491535754	DDR1;CAMK2B;NTNG2;KANK1;BRSK2;NDRG4;TENM3;SEZ6;CRMP1;ARHGAP44;STX1B;RELN;RUFY3;ROR2;KIF1A
Anterograde Trans-Synaptic Signaling (GO:0098916)	16/199	1.7387910963030742E-5	0.0026727703137458684	0	0	3.7769320843091334	41.394176137303646	UNC13B;GRIA2;KCND2;CNP;GAD1;SLC1A2;GRIK4;SLC1A3;GRIK2;SYN2;SYN1;GRIN1;CACNB3;RPS6KA1;EXOC4;NPTX2
Neurotransmitter Transport (GO:0006836)	8/52	2.4276394599410733E-5	0.0034828534118621266	0	0	7.771929824561403	82.58457368888713	UNC13A;PTPRN2;SLC1A2;SLC29A4;SLC1A3;SYN2;PPFIA3;SYN1
Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	8/55	3.6961362386139814E-5	0.004971303240935805	0	0	7.274729376633072	74.2432505704071	CACNG8;UNC13A;RELN;GRIK3;ATP1A2;MAPK8IP2;DGKI;GRIN1
Peptidyl-Tyrosine Dephosphorylation (GO:0035335)	6/29	4.5563878569755986E-5	0.005767850981300875	0	0	11.114296563508638	111.10290184110605	PTPRT;DUSP10;DUSP3;PTPRZ1;DUSP1;PTPN5
Cellular Response To Ketone (GO:1901655)	7/44	6.304106387610044E-5	0.007536909414520452	0	0	8.072210065645514	78.07218973281114	SFRP1;ADAM15;KLF9;SPP1;GAS6;GNAI1;ADCY5
