Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAPK signaling pathway	26/294	6.414176016379027E-9	1.5009171878326923E-6	0	0	4.257828171216809	80.3228865318749	CACNA1C;DUSP16;EGFR;CACNA1H;CACNG8;DUSP10;RPS6KA1;RAC3;FLNC;JUN;JUND;DUSP3;DUSP1;CACNA2D2;PRKCA;FOS;MAPK8IP2;DUSP8;MAPK8IP3;MAPK8IP1;GADD45G;CACNB3;FAS;FGFR3;PTPN5;EPHA2
Glutamatergic synapse	14/114	4.161781678374917E-7	3.8454629820908834E-5	0	0	6.033037694013304	88.63830911655776	GRIA2;SLC1A2;GRIK3;SLC1A3;ITPR2;GRIK4;PRKCA;CACNA1C;GRIK2;GNAI1;ADCY5;GRIN1;GNAO1;GRIN3A
Circadian entrainment	13/99	4.930080746270363E-7	3.8454629820908834E-5	0	0	6.504347602387322	94.46095094947744	CAMK2B;GUCY1A2;GRIA2;ADCYAP1R1;PRKCA;CACNA1C;FOS;CACNA1H;GNAI1;ADCY5;GRIN1;GNAO1;PER1
Axon guidance	17/180	1.1016973386926322E-6	6.444929431351898E-5	0	0	4.509804995617879	61.86847478187353	SEMA6B;CAMK2B;SEMA5B;NTNG2;LIMK2;PIK3R3;PRKCA;SEMA4G;BMP7;GNAI1;RGMA;RAC3;SRGAP3;BMPR1B;EPHB1;PDK1;EPHA2
Amphetamine addiction	10/68	3.646154238621381E-6	1.7051636940358024E-4	0	0	7.380447139067829	92.41676033643738	CAMK2B;GRIA2;JUN;GRIN3A;PRKCA;FOS;CACNA1C;CREB5;ADCY5;GRIN1
Focal adhesion	17/199	4.372214600091801E-6	1.7051636940358024E-4	0	0	4.035039737048666	49.793362411371284	SHC4;JUN;ITGB5;PXN;PIK3R3;PRKCA;THBS2;EGFR;RELN;CCND2;SPP1;ZYX;RAC3;COL4A5;ITGB8;ITGA7;FLNC
cAMP signaling pathway	17/211	9.551946547067894E-6	3.193079274305553E-4	0	0	3.7831024484536084	43.72799443233555	CAMK2B;GRIA2;ADCYAP1R1;JUN;GABBR1;PIK3R3;ATP1A3;ATP1A2;FOS;CACNA1C;ATP1B1;GNAI1;ADCY5;GRIN1;GRIN3A;RAC3;CREB5
Oxytocin signaling pathway	14/154	1.5060733223662628E-5	4.4052644679213183E-4	0	0	4.300443458980045	47.74962840592724	CAMK2B;GUCY1A2;JUN;CACNA2D2;ITPR2;PRKCA;CACNA1C;FOS;EGFR;GNAI1;ADCY5;GNAO1;CACNB3;CACNG8
Adrenergic signaling in cardiomyocytes	13/148	4.339592258651709E-5	0.0011165575678729457	0	0	4.1330711242215665	41.51729903111569	CAMK2B;CACNA2D2;ATP1A3;PRKCA;ATP1A2;CACNA1C;ATP1B1;GNAI1;ADCY5;CACNB3;CACNG8;PPP1R1A;CREB5
Thyroid hormone synthesis	9/73	4.7716135379185715E-5	0.0011165575678729457	0	0	6.004625822368421	59.74747374332801	GPX3;GPX7;ITPR2;ATP1A3;PRKCA;ATP1A2;ATP1B1;CREB5;ADCY5
